Descriptive Statistics:,,,,,,,,
,N,Mean,SD,Median,Min,Max,Skewness,Kurtosis
Gender,400.00,.51,.50,1.00,.00,1.00,-.03,-2.00
Age,400.00,25.05,4.85,25.00,10.00,38.00,.02,-.15
Group,400.00,4.46,2.65,5.00,.00,8.00,-.36,-1.15
ASC,400.00,4.39,1.07,4.40,1.80,6.40,-.25,-.51
OSC,400.00,4.39,1.06,4.33,1.67,6.33,-.30,-.34
RD,400.00,4.01,1.13,4.00,1.60,6.40,-.04,-.65
POS,400.00,4.00,1.13,4.00,1.80,6.20,.00,-.72
LS,400.00,4.00,.83,4.00,1.80,6.20,.02,1.06
SCD,400.00,3.98,.98,4.00,1.00,7.00,-.04,.53
USC,400.00,3.97,1.29,4.00,1.00,7.00,-.04,-.97
DSC,400.00,4.02,1.31,4.00,1.00,7.00,-.10,-.76
UI,400.00,3.10,.90,3.00,1.67,5.00,.14,-1.15
UC,400.00,4.01,1.14,4.00,1.67,6.33,-.01,-.82
DI,400.00,3.22,.86,3.00,1.00,5.67,.11,-.50
DC,400.00,4.04,1.15,4.00,1.67,6.33,-.05,-.81
