,Variance,SE,z-value,p-value
.ASC1,.38,.03,12.72,.00
.ASC2,.33,.03,12.40,.00
.ASC3,.40,.03,12.79,.00
.ASC4,.42,.03,12.88,.00
.ASC5,.45,.04,13.02,.00
.OSC1,.40,.03,12.77,.00
.OSC2,.38,.03,12.77,.00
.OSC3,.39,.03,12.81,.00
.OSC4,.39,.03,12.80,.00
.OSC5,.39,.03,12.79,.00
.OSC6,.41,.03,12.94,.00
.RD1,.44,.04,12.75,.00
.RD2,.32,.03,11.99,.00
.RD3,.36,.03,12.44,.00
.RD4,.35,.03,12.38,.00
.RD5,.36,.03,12.35,.00
.POS1,.46,.04,12.90,.00
.POS2,.35,.03,12.35,.00
.POS3,.34,.03,12.32,.00
.POS4,.47,.04,12.93,.00
.POS5,.35,.03,12.44,.00
.LS1,.33,.03,13.25,.00
.LS2,.38,.03,13.33,.00
.LS3,.52,.04,13.72,.00
.LS4,.40,.03,13.42,.00
.LS5,.43,.03,13.51,.00
.UI1,.43,.04,11.02,.00
.UI2,.33,.03,10.26,.00
.UI3,.39,.04,10.42,.00
.UC1,.46,.04,12.65,.00
.UC2,.40,.03,12.33,.00
.UC3,.54,.04,12.99,.00
.DI1,.34,.03,10.88,.00
.DI2,.39,.04,10.82,.00
.DI3,.45,.04,11.56,.00
.DC1,.39,.03,12.22,.00
.DC2,.42,.03,12.44,.00
.DC3,.36,.03,12.13,.00
.ASC,.00,.02,-.03,.98
.OSC,.01,.02,.60,.55
SCO,1.06,.10,10.58,.00
RD,1.19,.11,10.63,.00
POS,1.16,.11,10.49,.00
LS,.60,.06,9.65,.00
UI,.70,.08,8.99,.00
UC,1.17,.11,10.49,.00
DI,.56,.06,8.99,.00
DC,1.20,.11,10.90,.00
