"","Gender","Age","Edu","Marriage","ASC","OSC","RD","POS","LS","SCD","USC","DSC","UI","UC","DI","DC"
"Gender",1,-0.176311857570196,-0.0627883225297659,-0.0453353259955547,-0.0857953207655148,-0.170560692270252,-0.0618886901483352,-0.00545114361252601,0.0254208639631642,-0.0795937304968499,0.0457874643459557,-0.041774135916771,0.0758437220839377,0.0107028513162092,-0.0817049516778414,-0.045829516968338
"Age",-0.176311857570196,1,-0.169037486467834,0.454572829370873,-0.114906651740332,-0.116016812548078,0.0173574545370956,0.0224744662231645,-0.0538982103931662,-0.105929662340851,-0.101137766124216,0.00963639344480413,0.0198891775992432,-0.00488369400150632,-0.131790791257373,-0.183964207415326
"Edu",-0.0627883225297659,-0.169037486467834,1,0.0946869430044706,0.0747486002885518,0.120276742151919,-0.067162932468479,0.0140033256777765,0.0841082327463004,0.138471621739462,0.102712637163628,0.0376375420875827,0.00704281156245214,-0.0433911969652075,0.0783543571404014,0.050964882826435
"Marriage",-0.0453353259955547,0.454572829370873,0.0946869430044706,1,-0.0813003841221613,-0.0175458297550007,-0.232690352368442,0.10287407681093,0.188057261911134,-0.075664978618677,-0.104895861908349,-0.0773264220317481,0.218659983107237,-0.0770539362069611,-0.136386210290205,-0.12205091721259
"ASC",-0.0857953207655148,-0.114906651740332,0.0747486002885518,-0.0813003841221613,1,0.720868112900998,0.0684328550926138,0.307261367549593,0.047574079918373,0.172673709230561,0.451701851853089,0.218350030270379,0.114871949631144,0.230167659575071,0.426037080023196,0.3682453843548
"OSC",-0.170560692270252,-0.116016812548078,0.120276742151919,-0.0175458297550007,0.720868112900998,1,-0.0201486018329218,0.242692001445105,0.106290247567771,0.284100786881414,0.445450426011527,0.151223607146348,0.204728043152292,0.18729231203527,0.357823230170521,0.278622918848347
"RD",-0.0618886901483352,0.0173574545370956,-0.067162932468479,-0.232690352368442,0.0684328550926138,-0.0201486018329218,1,-0.205753007312597,-0.645049391836176,-0.0830835612502326,0.0291246353834142,0.0832774757075743,-0.510000421960848,0.449809531955823,0.30048936861194,-0.00372085131375344
"POS",-0.00545114361252601,0.0224744662231645,0.0140033256777765,0.10287407681093,0.307261367549593,0.242692001445105,-0.205753007312597,1,0.372885607963887,0.0262039753324312,0.282931609212798,0.148622152762079,0.241903437072765,0.20434248066523,0.118523850734047,0.264445545229814
"LS",0.0254208639631642,-0.0538982103931662,0.0841082327463004,0.188057261911134,0.047574079918373,0.106290247567771,-0.645049391836176,0.372885607963887,1,0.117247764208796,0.11056878449369,-0.0938160712252112,0.59492967027319,-0.26975375773661,-0.247654016826823,0.0678683392303592
"SCD",-0.0795937304968499,-0.105929662340851,0.138471621739462,-0.075664978618677,0.172673709230561,0.284100786881414,-0.0830835612502326,0.0262039753324312,0.117247764208796,1,0.453246271629642,-0.258245927435256,0.181439876731578,0.000422738745470594,0.137782548569386,-0.00874472298511745
"USC",0.0457874643459557,-0.101137766124216,0.102712637163628,-0.104895861908349,0.451701851853089,0.445450426011527,0.0291246353834142,0.282931609212798,0.11056878449369,0.453246271629642,1,0.0643298134921927,0.151007189267972,0.206856866446985,0.358476073255713,0.166582502059034
"DSC",-0.041774135916771,0.00963639344480413,0.0376375420875827,-0.0773264220317481,0.218350030270379,0.151223607146348,0.0832774757075743,0.148622152762079,-0.0938160712252112,-0.258245927435256,0.0643298134921927,1,-0.168746900285342,0.110584453885812,0.258229843057293,0.185575283015443
"UI",0.0758437220839377,0.0198891775992432,0.00704281156245214,0.218659983107237,0.114871949631144,0.204728043152292,-0.510000421960848,0.241903437072765,0.59492967027319,0.181439876731578,0.151007189267972,-0.168746900285342,1,-0.208182841047212,-0.0924899093290043,0.0686971788588683
"UC",0.0107028513162092,-0.00488369400150632,-0.0433911969652075,-0.0770539362069611,0.230167659575071,0.18729231203527,0.449809531955823,0.20434248066523,-0.26975375773661,0.000422738745470594,0.206856866446985,0.110584453885812,-0.208182841047212,1,0.419187056450017,0.209763009589225
"DI",-0.0817049516778414,-0.131790791257373,0.0783543571404014,-0.136386210290205,0.426037080023196,0.357823230170521,0.30048936861194,0.118523850734047,-0.247654016826823,0.137782548569386,0.358476073255713,0.258229843057293,-0.0924899093290043,0.419187056450017,1,0.344144013756941
"DC",-0.045829516968338,-0.183964207415326,0.050964882826435,-0.12205091721259,0.3682453843548,0.278622918848347,-0.00372085131375344,0.264445545229814,0.0678683392303592,-0.00874472298511745,0.166582502059034,0.185575283015443,0.0686971788588683,0.209763009589225,0.344144013756941,1
